Tenure Months,Monthly Charges,Total Charges,Gender,Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Actual Churn,Churn Probability,Risk Level,Recommendation
2,53.85,108.15,Male,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1,0.4696938468914582,Medium,Send promotional email
2,70.7,151.65,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.6996544985368872,High,Offer premium support
8,99.65,820.5,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.6737538022652139,High,Offer personalized discount
28,104.8,3046.05,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.38466860428189725,Medium,Send promotional email
49,103.7,5036.3,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.40973549980719376,Medium,Send promotional email
10,55.2,528.35,Female,No,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1,0.22387621833277294,Low,No action required
1,39.65,39.65,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,0.8751357415580633,Critical,Immediate retention call + 20% discount + Upgrade to yearly contract
1,20.15,20.15,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,0.43059622961344646,Medium,Send promotional email
47,99.35,4749.15,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.25934233284239494,Low,No action required
1,30.2,30.2,Male,No,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,0.6329087599551282,High,Offer premium support
17,64.7,1093.1,Female,No,No,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1,0.3720569510934178,Medium,Send promotional email
5,69.7,316.9,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,0.5749470479952656,Medium,Send promotional email
34,106.35,3549.25,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,0.3058742206021595,Medium,Send promotional email
11,97.85,1105.4,Female,No,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1,0.6430815498702118,High,Offer personalized discount
